ENTREZID,SYMBOL,GENENAME,ii...i,iii...ii,AveExpr,F,P.Value,adj.P.Val,First.Trimester.Average,Second.Trimester.Average,Term.Average
10143,CLEC3A,C-type lectin domain family 3 member A,"-0,2723436428","0,1681359436","4,0427051437","4,487891115","0,0143197744","0,0308762034","4,1592895996","3,8869459568","4,0550819004"
10148,EBI3,Epstein-Barr virus induced 3,"0,8161305993","2,0563222653","10,8063915623","121,6507884328","1,29335665520532E-024","2,37011160243999E-022","8,3064772254","9,1226078247","11,17893009"
10166,SLC25A15,solute carrier family 25 member 15,"-1,2639308617","-0,4279405329","5,2416198405","73,7327375004","1,19417139811507E-018","6,14629698610088E-017","6,7976111038","5,5336802421","5,1057397093"
10193,RNF41,ring finger protein 41,"0,2552026779","-0,2826775325","5,6729002691","11,6176411626","3,87266059037129E-005","0,0001559915","5,668757528","5,9239602059","5,6412826734"
10194,TSHZ1,teashirt zinc finger homeobox 1,"0,7694817734","-0,8098948164","6,8217771548","26,2679359796","0,000000002","1,79147705087303E-008","6,7736460551","7,5431278285","6,7332330121"
10231,RCAN2,regulator of calcineurin 2,"-0,3767075209","0,1911967939","4,6539118854","6,1407009059","0,0033477127","0,0086019195","4,8499230317","4,4732155108","4,6644123047"
10240,MRPS31,mitochondrial ribosomal protein S31,"-0,4937842925","-0,4274096412","6,8375821028","44,0036177765","1,72756933938693E-013","3,44699722851867E-012","7,6640553316","7,1702710391","6,7428613979"
10261,IGSF6,immunoglobulin superfamily member 6,"1,0656513568","-1,5638050756","6,2052655664","92,5174134267","3,02629902622932E-021","2,58802884930257E-019","6,5100452121","7,5756965689","6,0118914933"
10279,PRSS16,serine protease 16,"-0,3940486093","-0,3199183766","6,0652727861","24,0771079954","7,41380996719325E-009","6,06339848028026E-008","6,707036906","6,3129882967","5,9930699201"
10287,RGS19,regulator of G protein signaling 19,"0,4606209239","-0,5368259947","6,2821021591","21,7044097608","3,29244558500554E-008","2,3954983671707E-007","6,2969815201","6,7576024439","6,2207764492"
10301,DLEU1,deleted in lymphocytic leukemia 1,"-0,6977896142","-0,2752901937","4,9362291393","37,2402971599","4,68945248106687E-012","7,14820014390047E-011","5,8280470701","5,1302574559","4,8549672622"
10351,ABCA8,ATP binding cassette subfamily A member 8,"0,7954820466","0,7462881718","5,1771167806","28,5637977531","5,12816627958655E-010","5,24646017658806E-009","3,7971783789","4,5926604255","5,3389485973"
10383,TUBB4B,tubulin beta 4B class IVb,"-0,5039217015","-0,4272290408","9,1749955338","20,6561106265","6,48230700999415E-008","4,46321022702983E-007","10,0109138055","9,5069921039","9,0797630632"
10435,CDC42EP2,CDC42 effector protein 2,"0,372614515","-0,2744761614","6,0640173595","5,272465418","0,0071344208","0,016730924","5,9418355942","6,3144501092","6,0399739478"
10439,OLFM1,olfactomedin 1,"-0,4729354116","0,1606328371","4,8529686391","11,4809059122","0,000043027","0,000171368","5,1657492456","4,692813834","4,8534466711"
10468,FST,follistatin,"1,0031777149","-1,029938943","6,5571056933","22,8389115408","0,000000016","0,000000123","6,472579502","7,4757572169","6,4458182739"
10495,ENOX2,ecto-NOX disulfide-thiol exchanger 2,"0,2298048805","0,1349056476","5,0919509403","16,1020931158","1,42316357573416E-006","7,52940221730419E-006","4,761081576","4,9908864565","5,1257921042"
10522,DEAF1,DEAF1 transcription factor,"-0,4140548679","0,4113376333","6,328443148","16,2886830525","1,24776364112757E-006","6,6691366921293E-006","6,3748914776","5,9608366097","6,372174243"
10531,PITRM1,pitrilysin metallopeptidase 1,"-0,3674676489","-0,3952373894","6,8879191916","50,5720982203","8,97759403953101E-015","2,31749780500339E-013","7,5677879729","7,2003203241","6,8050829347"
10535,RNASEH2A,ribonuclease H2 subunit A,"-0,3701872587","-0,9372814851","6,1287021347","111,6076305548","1,57958729798151E-023","2,33107944965838E-021","7,2664625205","6,8962752618","5,9589937766"
10538,BATF,basic leucine zipper ATF-like transcription factor,"0,8120707346","-0,6486047093","5,6044214394","31,2558396037","1,12332553807216E-010","1,29101148676025E-009","5,3804890998","6,1925598344","5,5439551251"
10551,AGR2,"anterior gradient 2, protein disulphide isomerase family member","-1,7633017421","-1,1210396543","4,6075851679","97,9150541793","6,36123327249018E-022","6,16743756116548E-020","7,21851746","5,4552157179","4,3341760636"
10568,SLC34A2,solute carrier family 34 member 2,"-0,9731321836","-0,9375572859","4,7372162723","34,4789894341","1,96584981845903E-011","2,65660547590135E-010","6,445996193","5,4728640093","4,5353067234"
10615,SPAG5,sperm associated antigen 5,"-0,450768221","-0,5514434234","5,5086205897","36,7673853031","5,97170615680966E-012","8,8835122097197E-011","6,3985603146","5,9477920935","5,3963486701"
1062,CENPE,centromere protein E,"-0,5027687416","-0,7793007897","4,6638742499","82,3430391024","6,87243907298972E-020","4,56592804705882E-018","5,794441322","5,2916725804","4,5123717907"
1063,CENPF,centromere protein F,"-0,5605626086","-0,6995760711","5,2807554039","56,9536441438","6,20762650419916E-016","1,95686917928214E-014","6,3990652397","5,8385026312","5,13892656"
10630,PDPN,podoplanin,"1,4571914961","-1,0323932451","7,5428956075","33,7412703241","2,9095004851583E-011","3,81737451538157E-010","7,0306313171","8,4878228132","7,455429568"
10673,TNFSF13B,TNF superfamily member 13b,"1,8494288622","-0,6725714907","6,1087481","40,5087699742","9,18306308047311E-013","1,58362730020651E-011","4,9229154959","6,7723443581","6,0997728674"
1075,CTSC,cathepsin C,"0,4899458096","-0,9067390735","7,6446842996","31,6058014327","9,26077599119735E-011","1,0875542283747E-009","7,9425297549","8,4324755645","7,525736491"
10761,PLAC1,placenta enriched 1,"1,1242488302","0,7403462021","9,3610797559","28,0024769317","7,0923275328891E-010","7,05257328195937E-009","7,6749000535","8,7991488837","9,5394950859"
10766,TOB2,"transducer of ERBB2, 2","-0,4855449148","-0,239203644","5,9711601591","22,2933334113","2,261863255623E-008","1,68891701417851E-007","6,6317404061","6,1461954913","5,9069918473"
10791,VAMP5,vesicle associated membrane protein 5,"1,4240672913","-0,9703406095","8,0061982193","19,0319911067","1,89658178781949E-007","0,000001193","7,4731672954","8,8972345868","7,9268939773"
10797,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","-0,4960792906","-1,5166902871","6,2731156229","159,8650597688","3,31152195551814E-028","1,57779828943487E-025","8,0167571925","7,5206779019","6,0039876148"
10800,CYSLTR1,cysteinyl leukotriene receptor 1,"0,9507380004","-0,5796179313","4,6308432625","24,8737897482","4,55109219397775E-009","3,87807937796489E-008","4,2176903511","5,1684283515","4,5888104202"
10870,HCST,hematopoietic cell signal transducer,"1,0229359769","-0,4035370764","7,5459686967","11,1958478784","5,36390647380727E-005","0,0002090895","6,9165604494","7,9394964263","7,5359593499"
10891,PPARGC1A,PPARG coactivator 1 alpha,"-0,2517520654","0,1682854789","4,1889042956","5,6682883062","0,0050437059","0,0123762272","4,2858697819","4,0341177165","4,2024031954"
10892,MALT1,MALT1 paracaspase,"0,3318350711","-0,2705800135","5,7375680969","6,4905515892","0,0024781744","0,0065868722","5,6507181076","5,9825531786","5,7119731652"
10894,LYVE1,lymphatic vessel endothelial hyaluronan receptor 1,"1,6687820138","-0,7094056806","8,3032287164","18,5056644478","2,70324151196344E-007","1,64462807199935E-006","7,3193491817","8,9881311955","8,2787255149"
10920,COPS8,COP9 signalosome subunit 8,"0,3760838575","-0,7689712033","6,086733723","51,9144341813","5,03925204204389E-015","1,37311384073732E-013","6,3766434819","6,7527273394","5,9837561362"
10926,DBF4,DBF4 zinc finger,"-0,3943324088","-1,0998598571","4,7540033478","131,7697829737","1,21189930205453E-025","2,84642714944526E-023","6,0511869747","5,6568545659","4,5569947088"
10990,LILRB5,leukocyte immunoglobulin like receptor B5,"1,4053346325","-0,7936038782","5,3176736693","46,6686084112","5,06390181567333E-014","1,11405839944813E-012","4,6539174749","6,0592521074","5,2656482292"
1102,RCBTB2,RCC1 and BTB domain containing protein 2,"0,8333835899","-0,5076453334","5,5844567838","24,6947269912","5,07593306946912E-009","0,000000043","5,2219423987","6,0553259887","5,5476806552"
1103,CHAT,choline O-acetyltransferase,"0,4083406932","-0,6373965888","4,8461932764","27,6234775795","8,84190392703538E-010","8,59752710712781E-009","4,9950438881","5,4033845813","4,7659879925"
11041,B4GAT1,"beta-1,4-glucuronyltransferase 1","0,510694764","-0,2791256224","6,9994611409","7,7353109257","0,0008658981","0,0025679738","6,7504689538","7,2611637178","6,9820380954"
11064,CNTRL,centriolin,"0,4274995512","-0,1737624437","5,2232233852","9,9799372342","0,0001393477","0,0004960007","4,9644842628","5,391983814","5,2182213703"
11065,UBE2C,ubiquitin conjugating enzyme E2 C,"-0,658770553","-1,1362439246","6,5476581557","98,6413916643","5,18131595332541E-022","5,11264052293814E-020","8,1257391759","7,4669686229","6,3307246983"
11075,STMN2,stathmin 2,"0,8993637479","-1,4535266948","4,6654667583","46,2685455771","6,07323677130299E-014","1,32043411210233E-012","5,0350315005","5,9343952485","4,4808685537"
1108,CHD4,chromodomain helicase DNA binding protein 4,"-0,2813701517","-0,2571302307","7,2790390055","23,3455815109","1,16685745938081E-008","0,000000092","7,7613921429","7,4800219912","7,2228917605"
11101,ATE1,arginyltransferase 1,"0,2606530858","-0,1777685313","5,2894960603","6,2701030821","0,0029944539","0,0077914672","5,1920700386","5,4527231245","5,2749545932"
11104,KATNA1,katanin catalytic subunit A1,"0,3128232462","-0,2150013467","5,8552245092","5,1795135541","0,0077432471","0,0179741633","5,7396863007","6,0525095469","5,8375082001"
11113,CIT,citron rho-interacting serine/threonine kinase,"-0,5893857756","-0,5459619167","5,2637032646","49,2812780469","1,57729118215149E-014","3,85673134216397E-013","6,2802631422","5,6908773666","5,1449154499"
11138,TBC1D8,TBC1 domain family member 8,"-1,1665034729","0,3397948232","5,8323767362","16,2343554626","1,29641515796824E-006","6,90938406567746E-006","6,6512390391","5,4847355662","5,8245303894"
11184,MAP4K1,mitogen-activated protein kinase kinase kinase kinase 1,"0,4799207132","-0,2684944818","5,2203690767","7,3446699052","0,0012007414","0,0034404747","4,9915794996","5,4715002128","5,203005731"
11211,FZD10,frizzled class receptor 10,"0,7866086949","0,8914846857","6,7350886759","40,0701120746","1,13843767548936E-012","1,91569996735222E-011","5,2415853087","6,0281940036","6,9196786894"
1123,CHN1,chimerin 1,"1,0478635317","-1,2462149473","6,9889314698","32,1272470768","6,95775752288859E-011","8,38349454130709E-010","7,0437745488","8,0916380805","6,8454231333"
11259,FILIP1L,filamin A interacting protein 1 like,"0,579759954","-0,4503212501","6,599397902","6,4528908052","0,0025594332","0,0067833929","6,428828329","7,0085882829","6,5582670328"
11314,CD300A,CD300a molecule,"0,4714128742","-0,7114492818","5,579807512","30,5089364117","1,70173396739165E-010","1,90201847454578E-009","5,7311540545","6,2025669287","5,4911176468"
11326,VSIG4,V-set and immunoglobulin domain containing 4,"0,98574489","-0,7921130632","7,461226534","19,623382039","1,27848974317909E-007","8,32491017464058E-007","7,1934296779","8,1791745679","7,3870615047"
113730,KLHDC7B,kelch domain containing 7B,"0,5659012183","-0,5490179745","4,9647833935","9,7415766638","0,0001684973","0,0005894401","4,8902386721","5,4561398904","4,9071219159"
113802,HENMT1,HEN methyltransferase 1,"0,3202827978","-0,656794625","5,5519714479","42,7429947541","3,13004700582065E-013","5,96533301360745E-012","5,8004778842","6,1207606821","5,4639660571"
114876,OSBPL1A,oxysterol binding protein like 1A,"-0,8745126353","-0,7476479394","5,5811864514","91,937544595","3,59197369589845E-021","2,98008723148271E-019","7,0370826819","6,1625700466","5,4149221072"
114899,C1QTNF3,C1q and TNF related 3,"-0,7967203711","0,442201413","5,1539979941","7,3985204161","0,0011476395","0,0033036485","5,5367774251","4,7400570541","5,1822584671"
115273,RAB42,"RAB42, member RAS oncogene family","0,5975401154","-1,1087157894","4,6302190603","53,0424274492","3,12230412867207E-015","8,75084767222444E-014","4,9958690141","5,5934091295","4,4846933401"
1154,CISH,cytokine inducible SH2 containing protein,"0,7286404349","0,8021480513","7,1833446088","79,0420668318","2,00321067042064E-019","1,20597621443807E-017","5,819760634","6,5484010689","7,3505491202"
116039,OSR2,odd-skipped related transciption factor 2,"-1,2478655444","-1,1889713491","5,697233585","63,8606885698","4,18157907944414E-017","1,6216747146235E-015","7,8772822336","6,6294166892","5,4404453402"
116092,DNTTIP1,deoxynucleotidyltransferase terminal interacting protein 1,"0,344424785","-0,3580721961","7,1236451103","13,1848264332","1,18184815901623E-005","5,27953386010035E-005","7,0983702919","7,4427950769","7,0847228808"
116159,CYYR1,cysteine and tyrosine rich 1,"1,078535853","0,6753124153","6,6282489789","43,1360564483","2,59803113427765E-013","5,02025112343153E-012","5,0399726091","6,1185084622","6,7938208775"
116238,TLCD1,TLC domain containing 1,"-0,8831297583","0,6349260358","6,01688433","22,4718459943","2,02000933746447E-008","1,52418856631756E-007","6,3195759644","5,4364462062","6,071372242"
116255,MOGAT1,monoacylglycerol O-acyltransferase 1,"-0,3447560606","0,1953827518","4,1168767883","5,4538649418","0,0060837216","0,0145869363","4,2791243476","3,9343682869","4,1297510387"
116362,RBP7,retinol binding protein 7,"0,5548232823","-2,375294219","5,7633095643","211,3672303644","4,41663211519654E-032","4,75272249861473E-029","7,233324001","7,7881472833","5,4128530643"
116843,SLC18B1,solute carrier family 18 member B1,"0,4420899817","-0,3634979624","7,2109533876","6,2950849746","0,0029307844","0,0076484758","7,0977798266","7,5398698084","7,176371846"
117247,SLC16A10,solute carrier family 16 member 10,"1,5129861684","-1,3042164991","6,4477617306","46,3683383221","5,80357671422296E-014","1,26841999064721E-012","6,1110100171","7,6239961854","6,3197796863"
1184,CLCN5,chloride voltage-gated channel 5,"0,3508371909","-0,1783519155","4,9460352187","6,3870827958","0,0027080469","0,0071407645","4,7637249536","5,1145621445","4,9362102291"
118429,ANTXR2,ANTXR cell adhesion molecule 2,"0,6927103681","-0,522623338","7,7129738868","15,6895267755","1,90656332983875E-006","9,87080102092237E-006","7,4962116756","8,1889220437","7,6662987057"
118788,PIK3AP1,phosphoinositide-3-kinase adaptor protein 1,"0,9625261505","0,5098726899","7,0944848453","34,9147866663","1,5623259110506E-011","2,14961608025411E-010","5,7550003632","6,7175265138","7,2273992037"
1191,CLU,clusterin,"-1,6761382372","-0,7052940835","5,9870111111","43,0074861532","2,76099728904982E-013","5,31054103716202E-012","8,1662023391","6,490064102","5,7847700184"
121274,ZNF641,zinc finger protein 641,"0,5867454348","-0,6978242291","5,4091043968","30,8769284999","1,38603802949137E-010","1,56596003928171E-009","5,4398244043","6,0265698391","5,32874561"
121506,ERP27,endoplasmic reticulum protein 27,"-1,7196086677","-0,7647111423","5,2424650496","68,6411045381","7,17480212285E-018","3,156912934054E-016","7,5127186146","5,7931099469","5,0283988046"
122060,SLAIN1,SLAIN motif family member 1,"0,3946627859","-0,3233638806","4,7198206578","7,4282130869","0,0011193961","0,0032290346","4,6178322135","5,0124949994","4,6891311188"
122509,IFI27L1,interferon alpha inducible protein 27 like 1,"-0,4119832208","-0,3591787749","5,3780354464","31,8018842505","8,31465237936177E-011","0,000000001","6,0697563996","5,6577731788","5,298594404"
123036,TC2N,"tandem C2 domains, nuclear","-1,0422532043","1,4453768591","6,0485247725","27,1755504095","1,14928065423821E-009","1,09080274274766E-008","5,8210745776","4,7788213733","6,2241982323"
123263,MTFMT,mitochondrial methionyl-tRNA formyltransferase,"0,5063046149","-0,6598859056","5,4391947529","33,8623733737","2,72739970665309E-011","3,59258432133862E-010","5,5141972116","6,0205018265","5,3606159208"
1236,CCR7,C-C motif chemokine receptor 7,"-1,5304017293","-0,3097701896","5,2845469723","67,4246580665","1,11513260933976E-017","4,79776279891764E-016","6,9935342353","5,4631325059","5,1533623164"
123688,HYKK,hydroxylysine kinase,"-0,5469337871","-0,1945625081","4,8308653022","29,1197348206","3,72940836589082E-010","3,91141200201815E-009","5,5120617941","4,965128007","4,7705654989"
123920,CMTM3,CKLF like MARVEL transmembrane domain containing 3,"0,408958862","-0,4355595013","7,4389402804","10,0575638241","0,0001310152","0,0004684412","7,4176625387","7,8266214008","7,3910618995"
1240,CMKLR1,chemerin chemokine-like receptor 1,"0,9073225021","-0,3858745941","5,5237449167","16,4774436121","1,09280393813592E-006","5,92059729446221E-006","4,9889476071","5,8962701092","5,5103955151"
124773,C17orf64,chromosome 17 open reading frame 64,"-0,3783557382","0,2797335314","4,5979593998","10,3033217338","0,0001078512","0,0003938955","4,7211599989","4,3428042607","4,6225377921"
124997,WDR81,WD repeat domain 81,"0,3139377935","-0,4014765126","5,7320235956","16,9672880973","7,76259685521712E-007","4,32940017249501E-006","5,7720694216","6,0860072151","5,6845307025"
125,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide","-0,8160960741","0,6326190837","4,221697507","9,5845448979","0,0001910563","0,0006615563","4,4628684268","3,6467723527","4,2793914364"
126695,KDF1,keratinocyte differentiation factor 1,"-0,3301493259","0,5084253588","5,7457567697","26,808927314","1,42630908766273E-009","1,32952098076376E-008","5,6312208302","5,3010715043","5,8094968631"
126969,SLC44A3,solute carrier family 44 member 3,"-0,6084465551","-0,4104345116","5,0995689321","22,0237039028","2,68485570376669E-008","1,9854835350782E-007","6,020329994","5,4118834389","5,0014489273"
127495,LRRC39,leucine rich repeat containing 39,"0,6256933886","-1,2172037113","4,5115835855","71,6514345143","2,46061742518361E-018","1,16571750518074E-016","4,9417116285","5,5674050171","4,3502013058"
128338,DRAM2,DNA damage regulated autophagy modulator 2,"0,5215379871","-0,4859535848","6,6772223927","11,8016764834","3,36243804915386E-005","0,0001373641","6,5917007761","7,1132387633","6,6272851784"
1288,COL4A6,collagen type IV alpha 6 chain,"-0,5203022872","-0,3374207516","4,9929336219","28,2579004595","6,11731149678493E-010","6,14531846508346E-009","5,7689198851","5,2486175979","4,9111968463"
129531,MITD1,microtubule interacting and trafficking domain containing 1,"0,3930605881","-0,5908321509","6,3916017939","23,6932160927","9,39989683119809E-009","7,53981142650598E-008","6,5158034439","6,9088640321","6,3180318811"
1299,COL9A3,collagen type IX alpha 3 chain,"-1,7358177452","-0,8421662331","5,5743758259","91,99677818","3,52952188193717E-021","2,94291534515921E-019","7,9250362606","6,1892185154","5,3470522822"
130497,OSR1,odd-skipped related transcription factor 1,"0,6153165168","-1,4682456495","5,0903871588","144,8263628591","6,97268614650185E-027","1,97078837591635E-024","5,7412138685","6,3565303852","4,8882847358"
130557,ZNF513,zinc finger protein 513,"-0,305171701","0,5284390327","6,1600887262","28,7904406986","4,50229274071148E-010","4,660473851279E-009","6,0050958157","5,6999241147","6,2283631474"
130733,TMEM178A,transmembrane protein 178A,"1,0908534986","-0,677103316","5,6913078797","23,7387087326","9,13848999539278E-009","7,34811380099937E-008","5,2274000198","6,3182535184","5,6411502024"
131601,TPRA1,transmembrane protein adipocyte associated 1,"0,3802207001","0,2485413161","6,8341118299","17,848958682","4,22593874243073E-007","2,4805263804567E-006","6,2653948616","6,6456155617","6,8941568778"
1318,SLC31A2,solute carrier family 31 member 2,"0,6339573402","0,4273735206","8,0121751826","26,2492084648","0,000000002","1,80762311576019E-008","7,0530351433","7,6869924835","8,1143660041"
131873,COL6A6,collagen type VI alpha 6 chain,"0,7110224359","-1,3929723506","4,6631830864","116,8588368812","4,18333467650558E-024","6,97612890654071E-022","5,1601786216","5,8712010575","4,4782287069"
132720,FAM241A,family with sequence similarity 241 member A,"1,5327332659","0,6162117736","6,3018561925","94,0817087702","1,91327040643762E-021","1,69711155839116E-019","4,333250811","5,8659840769","6,4821958505"
133584,EGFLAM,"EGF like, fibronectin type III and laminin G domains","0,8187912561","-0,4483392293","7,0448827157","6,470435148","0,0025212439","0,0066928149","6,6463652792","7,4651565353","7,016817306"
133686,NADK2,"NAD kinase 2, mitochondrial","0,3517647676","-0,2445195716","6,0106370684","5,1590592087","0,0078842301","0,0182785238","5,8830295285","6,2347942962","5,9902747246"
134429,STARD4,StAR related lipid transfer domain containing 4,"0,5633867705","-0,3398864187","6,0489083383","6,3605774349","0,0027703784","0,0072822872","5,8010734539","6,3644602244","6,0245738058"
134701,RIPPLY2,ripply transcriptional repressor 2,"-0,262625858","0,4233744877","4,6083677287","29,1864039563","3,59027956851579E-010","3,77976654574301E-009","4,5013523046","4,2387264466","4,6621009343"
135114,HINT3,histidine triad nucleotide binding protein 3,"0,3700255311","0,348135187","5,6499709074","24,3535466586","6,25464400391546E-009","0,000000052","5,0072465143","5,3772720454","5,7254072323"
135154,SDHAF4,succinate dehydrogenase complex assembly factor 4,"0,6389870318","-0,4765498644","5,8497004475","8,0869653473","0,0006466546","0,0019717703","5,6450946101","6,284081642","5,8075317775"
1356,CP,ceruloplasmin,"-1,9661739962","-0,899531908","4,7037206141","32,0195724572","7,37965491369507E-011","8,83439521470057E-010","7,3206387999","5,3544648037","4,4549328957"
1357,CPA1,carboxypeptidase A1,"0,395535463","-0,2461178904","4,6670424923","9,6454356554","0,0001819621","0,0006322982","4,4993412819","4,894876745","4,6487588546"
1366,CLDN7,claudin 7,"-0,6153978946","0,6800155209","8,1335584583","14,1026288907","5,99623774611382E-006","2,83267027348992E-005","8,1449220943","7,5295241997","8,2095397206"
1378,CR1,complement C3b/C4b receptor 1 (Knops blood group),"1,3007060342","-0,3874525786","4,7827400849","23,0374237075","1,41478682317507E-008","1,09734814247756E-007","3,8768652053","5,1775712395","4,7901186608"
138311,DIPK1B,divergent protein kinase domain 1B,"0,983108702","0,5310830473","6,9725658153","44,072990662","1,67242131078137E-013","3,34404050102998E-012","5,5957798176","6,5788885197","7,1099715669"
1389,CREBL2,cAMP responsive element binding protein like 2,"0,4157357757","0,3336300627","6,4556180837","24,7629972083","4,86886901840539E-009","4,13829050718289E-008","5,7818056301","6,1975414057","6,5311714684"
1390,CREM,cAMP responsive element modulator,"0,504762514","-0,284432505","5,268096719","10,80251725","7,28598828703845E-005","0,0002757629","5,0291781766","5,5339406906","5,2495081856"
1397,CRIP2,cysteine rich protein 2,"0,8684981466","1,2833796535","8,3331517606","104,7013101087","9,7480547173776E-023","1,14477859483795E-020","6,4329346062","7,3014327528","8,5848124063"
140290,TCP10L,t-complex 10 like,"-0,2389643961","0,1663715766","4,5005412996","4,9779389501","0,0092535289","0,0210779739","4,5870088036","4,3480444075","4,5144159841"
140701,ABHD16B,abhydrolase domain containing 16B,"-0,2615918697","0,2517123514","4,8551479572","10,2224482166","0,0001149699","0,000417699","4,8913498854","4,6297580157","4,8814703671"
140706,CCM2L,CCM2 like scaffold protein,"0,9634568731","0,9816024745","6,2625542764","140,1433637817","1,89549614341294E-026","4,86296825962372E-024","4,5259356914","5,4893925644","6,4709950389"
140838,NANP,N-acetylneuraminic acid phosphatase,"0,5550264638","-0,5643428826","5,1574478262","31,7317528032","8,64109735082685E-011","0,000000001","5,1060707952","5,6610972589","5,0967543764"
140862,ISM1,isthmin 1,"0,7331356483","-0,7446111266","7,0410304894","13,8344145522","7,30234583786817E-006","3,39770979889201E-005","6,9724687554","7,7056044037","6,9609932771"
140873,C20orf173,chromosome 20 open reading frame 173,"-0,2620880575","0,2469629033","4,4403424822","8,2580260958","0,0005614848","0,0017387781","4,4810036711","4,2189156136","4,465878517"
1428,CRYM,crystallin mu,"-0,5501092868","0,5353911033","5,0271328248","16,9210081911","8,01649306722373E-007","4,45164963000409E-006","5,0981744228","4,548065136","5,0834562394"
143379,C10orf82,chromosome 10 open reading frame 82,"-0,2598834896","0,2149395905","4,8165534283","9,5797012342","0,0001917995","0,0006638538","4,8820272091","4,6221437195","4,83708331"
143458,LDLRAD3,low density lipoprotein receptor class A domain containing 3,"-0,7853672808","-0,4354377745","5,082670263","50,589785303","8,90904104889945E-015","2,30336695397593E-013","6,1919190195","5,4065517387","4,9711139641"
143503,OR51E1,olfactory receptor family 51 subfamily E member 1,"0,7279055247","1,2199688459","5,0042077369","69,7304085359","4,85449248640828E-018","2,19982382346045E-016","3,2903500096","4,0182555343","5,2382243802"
143872,ARHGAP42,Rho GTPase activating protein 42,"1,3464451726","0,5215600957","6,567470442","34,602639048","1,84153367804962E-011","2,50076674390517E-010","4,8547251982","6,2011703708","6,7227304665"
1440,CSF3,colony stimulating factor 3,"0,3866246346","-0,4185376378","5,5502018583","10,727561084","7,72600986304629E-005","0,0002907672","5,53576882","5,9223934546","5,5038558167"
144110,TMEM86A,transmembrane protein 86A,"0,5317629533","-0,2116139574","5,1463170649","9,5045282465","0,0002037208","0,0006994405","4,8206705267","5,35243348","5,1408195226"
1444,CSHL1,chorionic somatomammotropin hormone like 1,"1,0016145273","2,4998868835","11,5621456431","110,2204569745","2,26119926363069E-023","3,22288537780388E-021","8,5140455751","9,5156601023","12,0155469859"
145173,B3GLCT,beta 3-glucosyltransferase,"0,646013277","-0,4670609166","4,7890952869","15,0407501138","3,03333353121016E-006","0,000015163","4,5698672213","5,2158804983","4,7488195817"
145389,SLC38A6,solute carrier family 38 member 6,"0,6826068751","-1,2094198605","5,3946595309","90,4901276653","5,52774714535271E-021","4,47479181533504E-019","5,7643710387","6,4469779138","5,2375580532"
